Anomaly_ID,Num_Traces,Mean_Fitness_Pre,Mean_Fitness_Post,Pct_Improved,Pct_Worsened,Pct_Unchanged,Mean_Delta,Variance_Delta
Sub102,7,0.8621,0.6296,0.0,100.0,0.0,-0.23239999999999997,8.987673073807101e-34
Sub103,7,0.8947000000000002,0.8421000000000001,0.0,100.0,0.0,-0.052599999999999994,5.617295671129438e-35
Sub104,8,0.9697,0.9697,0.0,0.0,100.0,0.0,0.0
Sub105,332,0.8001057228915661,0.7141762048192771,0.0,100.0,0.0,-0.08592469879518072,0.00020982434280930384
Sub106,11,0.9131818181818182,0.8186181818181819,0.0,100.0,0.0,-0.09457272727272725,3.6472181818181854e-05
Sub110,6,0.9118,0.697,0.0,100.0,0.0,-0.21479999999999996,9.244463733058732e-34
Sub111,14,0.8763928571428572,0.7784642857142857,0.0,100.0,0.0,-0.09797142857142857,8.622681318681319e-05
Sub112,4,0.7283000000000001,0.6847000000000001,0.0,75.0,25.0,-0.0436,0.0008688200000000001
Sub117,3,0.8684,0.7742,0.0,100.0,0.0,-0.0942,0.0
Sub120,4,0.8485,0.7879,0.0,100.0,0.0,-0.0606,0.0
Sub121,3,0.9091,0.8485,0.0,100.0,0.0,-0.06060000000000001,7.222237291452134e-35
Sub123,9,0.9599666666666666,0.864111111111111,0.0,100.0,0.0,-0.09585555555555555,7.810277777777779e-05
Sub124,5,0.8788,0.7778,0.0,100.0,0.0,-0.101,0.0
Sub125,3,0.6786,0.52,0.0,100.0,0.0,-0.1586,0.0
Sub126,9,0.7437777777777778,0.7383555555555555,0.0,11.11,88.89,-0.005422222222222222,0.0002646044444444444
Sub129,5,0.8947,0.5161,0.0,100.0,0.0,-0.3786,0.0
Sub130,3,0.8857,0.8485,0.0,100.0,0.0,-0.0372,0.0
Sub131,5,0.8857000000000002,0.8484999999999999,0.0,100.0,0.0,-0.0372,0.0
Sub132,2,0.7692,0.5161,0.0,100.0,0.0,-0.2531,0.0
Sub137,3,0.8438,0.7778,0.0,100.0,0.0,-0.066,0.0
Sub138,3,0.7667,0.6296,0.0,100.0,0.0,-0.137,0.0
Sub139,3,0.6786,0.52,0.0,100.0,0.0,-0.1586,0.0
Sub140,6,0.7667,0.6296,0.0,100.0,0.0,-0.137,0.0
Sub141,4,0.8788,0.7778,0.0,100.0,0.0,-0.101,0.0
Sub142,10,0.79872,0.94838,100.0,0.0,0.0,0.14967,0.00017756011111111114
Sub143,11,0.8871272727272725,0.7924,0.0,100.0,0.0,-0.09472727272727273,6.327618181818182e-05
Sub144,5,0.85362,0.7518800000000001,0.0,100.0,0.0,-0.10173999999999998,2.5843000000000037e-05
Sub145,13,0.6489846153846154,0.9011692307692307,100.0,0.0,0.0,0.2522,0.001102641666666666
Sub146,10,0.69331,0.93459,100.0,0.0,0.0,0.24128,0.0015115662222222215
Sub149,3,0.9091,0.8485,0.0,100.0,0.0,-0.06060000000000001,7.222237291452134e-35
Sub150,3,0.8857,0.7708333333333334,0.0,100.0,0.0,-0.11486666666666666,0.0013020833333333328
Sub151,3,0.8543666666666668,0.7765333333333334,0.0,100.0,0.0,-0.07783333333333332,5.72133333333334e-05
Sub152,3,0.8123666666666667,0.7930333333333334,0.0,100.0,0.0,-0.01933333333333333,1.583333333333336e-06
Sub17,115,0.8691417391304348,0.9126982608695653,80.87,19.13,0.0,0.04356173913043478,0.002588184488176964
Sub18,111,0.8900027027027028,0.8234072072072071,0.0,100.0,0.0,-0.06659909909909911,0.0011120499082719086
Sub2,473,0.8138219873150105,0.9345268498942918,100.0,0.0,0.0,0.12069492600422832,0.00046401861826781836
Sub20,57,0.8412421052631578,0.7110403508771931,0.0,100.0,0.0,-0.1301175438596491,0.0012513000438596495
Sub21,52,0.9230999999999998,0.708567307692308,0.0,100.0,0.0,-0.21451153846153848,0.0010082877073906492
Sub22,88,0.849175,0.9588625,100.0,0.0,0.0,0.10968863636363636,0.00017726952455590387
Sub26,58,0.9030344827586207,0.9030344827586207,0.0,0.0,100.0,0.0,0.0
Sub29,70,0.8463428571428572,0.9545057142857144,100.0,0.0,0.0,0.10816285714285714,0.00017203280331262933
Sub31,51,0.7084098039215685,0.8956333333333333,100.0,0.0,0.0,0.18722549019607845,0.004730936337254904
Sub33,59,0.833506779661017,0.6158,0.0,100.0,0.0,-0.21772711864406782,0.0020096140794856826
Sub4,155,0.8610670967741937,0.8999845161290325,57.42,0.0,42.58,0.03890967741935484,0.0011838762044407208
Sub43,15,0.7056066666666666,0.7079199999999999,20.0,13.33,66.67,0.0023133333333333335,0.0008029998095238094
Sub44,26,0.8353730769230769,0.7497807692307692,0.0,100.0,0.0,-0.0856,0.0001283312
Sub46,11,0.7098636363636363,0.7064909090909091,9.09,18.18,72.73,-0.003381818181818182,0.0007586296363636363
Sub48,132,0.8819015151515152,0.7783560606060606,0.0,100.0,0.0,-0.10353939393939392,0.00013427263474439035
Sub49,21,0.8712142857142857,0.7467571428571428,0.0,100.0,0.0,-0.12445714285714285,1.8565714285714258e-06
Sub51,12,0.9375,0.8125,0.0,100.0,0.0,-0.125,0.0
Sub53,22,0.9630000000000002,0.9630000000000002,0.0,0.0,100.0,0.0,0.0
Sub54,39,0.8719153846153846,0.6080384615384614,0.0,100.0,0.0,-0.26384615384615384,0.0016293014979757085
Sub56,10,0.73068,0.72129,0.0,20.0,80.0,-0.009389999999999999,0.000396081
Sub57,9,0.7245555555555555,0.7239111111111112,11.11,11.11,77.78,-0.0006444444444444444,0.0005872752777777775
Sub58,21,0.8214,0.5199999999999999,0.0,100.0,0.0,-0.3014,3.2355623065705564e-33
Sub60,16,0.8214,0.52,0.0,100.0,0.0,-0.3014,3.2869204384208825e-33
Sub62,17,0.7548529411764706,0.5998117647058823,0.0,100.0,0.0,-0.15504117647058824,0.0008056775735294117
Sub63,201,0.8110701492537314,0.7900766169154229,0.0,100.0,0.0,-0.020994029850746266,9.61216417910447e-06
Sub64,16,0.9,0.7778,0.0,100.0,0.0,-0.1222,8.217301096052206e-34
Sub66,22,0.8257318181818184,0.8047318181818182,0.0,100.0,0.0,-0.021013636363636363,3.4415519480519475e-05
Sub70,12,0.8888999999999999,0.7407,0.0,100.0,0.0,-0.14809999999999998,8.404057939144301e-34
Sub71,32,0.801096875,0.9701124999999999,100.0,0.0,0.0,0.169021875,0.0003571024092741935
Sub72,12,0.875,0.8125,0.0,100.0,0.0,-0.0625,0.0
Sub73,13,0.9233769230769233,0.7816923076923078,0.0,100.0,0.0,-0.14168461538461538,0.0020524147435897425
Sub75,13,0.8615846153846155,0.7634615384615385,0.0,100.0,0.0,-0.09817692307692308,4.108692307692308e-05
Sub77,8,0.845375,0.9661375,100.0,0.0,0.0,0.12075,1.6200000000000052e-06
Sub78,13,0.8621,0.6296,0.0,100.0,0.0,-0.23240000000000005,8.345696425678021e-34
Sub8,105,0.8075333333333333,0.927735238095238,98.1,1.9,0.0,0.12020571428571428,0.0036457818901098893
Sub80,11,0.9,0.7778000000000002,0.0,100.0,0.0,-0.12220000000000003,0.0
Sub82,10,0.8888999999999999,0.9629999999999999,100.0,0.0,0.0,0.07410000000000001,2.139922160430262e-34
Sub85,22,0.8749863636363635,0.8540045454545454,0.0,100.0,0.0,-0.020999999999999998,3.481904761904762e-06
Sub90,27,0.7984555555555557,0.9657185185185185,100.0,0.0,0.0,0.1672740740740741,0.0003914096866096868
Sub91,3,0.7424333333333334,0.7049333333333333,0.0,66.67,33.33,-0.0375,0.00109375
Sub96,7,0.7279857142857143,0.7426428571428572,28.57,0.0,71.43,0.014657142857142856,0.0006378061904761906
Sub97,9,0.9004777777777778,0.7862888888888889,0.0,100.0,0.0,-0.1141888888888889,0.0015801211111111113
Sub99,6,0.9696999999999999,0.8484999999999999,0.0,100.0,0.0,-0.12119999999999999,2.311115933264683e-34
